Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Spain,DDP Courier, £ 6.30 , £ 6.30 , £ 7.06 , £ 7.18 , £ 7.18 , £ 7.18 , £ 7.99 , £ 7.99 , £ 8.54 , £ 8.87 , £ 9.14 , £ 9.14 , £ 10.84 , £ 10.84 , £ 12.70 , £ 12.70 , £ 12.70 , £ 12.70 , £ 12.70 , £ 12.70 , £ 14.38 , £ 14.38 , £ 14.38 , £ 14.38 , £ 19.91 , £ 25.80 , £ 29.27 , £ 53.73 
Spain - Balearic Islands,DDP Courier, £ 7.67 , £ 7.67 , £ 8.43 , £ 8.43 , £ 8.43 , £ 8.43 , £ 9.55 , £ 9.55 , £ 10.11 , £ 11.12 , £ 12.14 , £ 12.14 , £ 14.11 , £ 14.11 , £ 15.97 , £ 15.97 , £ 15.97 , £ 15.97 , £ 15.97 , £ 15.97 , £ 19.99 , £ 19.99 , £ 19.99 , £ 19.99 , £ 28.45 , £ 39.61 ,,
Spain - Canary Islands,DDP Courier, £ 14.27 , £ 14.27 , £ 15.03 , £ 17.20 , £ 17.20 , £ 17.20 , £ 22.14 , £ 22.14 , £ 22.69 , £ 27.51 , £ 32.31 , £ 32.31 , £ 46.92 , £ 46.92 , £ 48.79 , £ 48.79 , £ 48.79 , £ 48.79 , £ 48.79 , £ 48.79 , £ 72.99 , £ 72.99 , £ 72.99 , £ 72.99 , £ 98.63 , £ 132.45 ,,
Sweden,DDP Shop, £ 7.27 , £ 7.27 , £ 8.14 , £ 8.14 , £ 8.14 , £ 8.79 , £ 8.79 , £ 8.79 , £ 9.42 , £ 10.75 , £ 10.75 , £ 10.75 , £ 10.75 , £ 11.88 , £ 13.99 , £ 13.99 , £ 13.99 , £ 13.99 , £ 14.93 , £ 14.93 , £ 14.93 , £ 14.93 , £ 14.93 , £ 17.68 , £ 22.66 , £ 22.66 ,,
Afghanistan,DDU Courier, £ 32.62 , £ 32.68 , £ 33.01 , £ 33.07 , £ 33.13 , £ 33.20 , £ 33.26 , £ 33.32 , £ 33.63 , £ 33.75 , £ 33.87 , £ 34.01 , £ 34.13 , £ 34.25 , £ 35.04 , £ 35.16 , £ 35.28 , £ 35.40 , £ 35.52 , £ 35.63 , £ 35.75 , £ 35.89 , £ 36.01 , £ 36.13 , £ 37.87 , £ 39.10 ,,
Aland Islands,DDU Courier, £ 36.56 , £ 37.47 , £ 38.69 , £ 39.61 , £ 40.53 , £ 41.44 , £ 42.37 , £ 43.28 , £ 45.34 , £ 47.17 , £ 49.01 , £ 50.85 , £ 52.68 , £ 54.52 , £ 57.09 , £ 58.92 , £ 60.74 , £ 62.58 , £ 64.42 , £ 66.25 , £ 68.09 , £ 69.93 , £ 71.76 , £ 73.60 , £ 92.54 , £ 110.89 ,,
Albania,DDU Courier, £ 24.26 , £ 25.32 , £ 26.53 , £ 27.59 , £ 28.65 , £ 29.71 , £ 30.77 , £ 31.83 , £ 34.07 , £ 36.19 , £ 38.31 , £ 40.43 , £ 42.55 , £ 44.67 , £ 47.14 , £ 49.26 , £ 51.40 , £ 53.52 , £ 55.64 , £ 57.76 , £ 59.88 , £ 62.00 , £ 64.12 , £ 66.24 , £ 87.74 , £ 108.95 ,,
Algeria,DDU Courier, £ 26.21 , £ 27.13 , £ 28.19 , £ 29.10 , £ 30.01 , £ 30.90 , £ 31.81 , £ 32.72 , £ 34.65 , £ 36.46 , £ 38.28 , £ 40.08 , £ 41.89 , £ 43.71 , £ 45.92 , £ 47.73 , £ 49.53 , £ 51.35 , £ 53.16 , £ 54.97 , £ 56.79 , £ 58.59 , £ 60.40 , £ 62.22 , £ 80.64 , £ 98.77 ,,
Andorra,DDU Courier, £ 28.81 , £ 29.41 , £ 30.28 , £ 30.86 , £ 31.45 , £ 32.04 , £ 32.62 , £ 33.22 , £ 34.59 , £ 35.77 , £ 36.95 , £ 38.13 , £ 39.29 , £ 40.47 , £ 42.34 , £ 43.52 , £ 44.70 , £ 45.88 , £ 47.04 , £ 48.22 , £ 49.40 , £ 50.58 , £ 51.74 , £ 52.92 , £ 65.24 , £ 76.99 ,,
Angola,DDU Courier, £ 15.91 , £ 17.20 , £ 18.63 , £ 19.91 , £ 21.20 , £ 22.47 , £ 23.75 , £ 25.04 , £ 27.71 , £ 30.26 , £ 32.83 , £ 35.38 , £ 37.95 , £ 40.50 , £ 43.46 , £ 46.01 , £ 48.56 , £ 51.13 , £ 53.68 , £ 56.25 , £ 58.80 , £ 61.37 , £ 63.92 , £ 66.48 , £ 92.38 , £ 117.98 ,,
