Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Jordan,DDU Courier, £ 26.24 , £ 26.95 , £ 27.78 , £ 28.48 , £ 29.19 , £ 29.87 , £ 30.57 , £ 31.26 , £ 32.77 , £ 34.16 , £ 35.56 , £ 36.95 , £ 38.34 , £ 39.74 , £ 41.49 , £ 42.89 , £ 44.28 , £ 45.67 , £ 47.05 , £ 48.46 , £ 49.85 , £ 51.23 , £ 52.64 , £ 54.03 , £ 68.24 , £ 82.17 , £ -   , £ -   
Kazakhstan,DDU Courier, £ 11.82 , £ 15.11 , £ 18.65 , £ 21.92 , £ 25.18 , £ 28.47 , £ 31.74 , £ 35.02 , £ 57.22 , £ 61.34 , £ 65.46 , £ 69.57 , £ 73.69 , £ 77.81 , £ 82.55 , £ 86.68 , £ 90.80 , £ 94.90 , £ 99.02 , £ 103.14 , £ 107.25 , £ 111.37 , £ 115.49 , £ 119.59 , £ 161.27 , £ 202.43 ,,
Kenya,DDU Courier, £ 28.62 , £ 29.36 , £ 30.26 , £ 31.01 , £ 31.75 , £ 32.48 , £ 33.23 , £ 33.98 , £ 35.57 , £ 37.05 , £ 38.55 , £ 40.02 , £ 41.50 , £ 42.99 , £ 44.88 , £ 46.35 , £ 47.83 , £ 49.32 , £ 50.80 , £ 52.28 , £ 53.77 , £ 55.25 , £ 56.73 , £ 58.22 , £ 73.36 , £ 88.20 ,,
Kiribati,DDU Courier, £ 27.02 , £ 30.74 , £ 34.74 , £ 38.46 , £ 42.19 , £ 45.91 , £ 49.64 , £ 53.35 , £ 61.00 , £ 68.45 , £ 75.90 , £ 83.35 , £ 90.80 , £ 98.24 , £ 106.37 , £ 113.80 , £ 121.25 , £ 128.70 , £ 136.15 , £ 143.60 , £ 151.05 , £ 158.50 , £ 165.95 , £ 173.40 , £ 248.41 , £ 322.89 ,,
Kosovo,DDU Courier, £ 11.39 , £ 17.36 , £ 19.56 , £ 21.05 , £ 22.54 , £ 24.03 , £ 25.53 , £ 27.02 , £ 30.13 , £ 33.11 , £ 36.10 , £ 39.08 , £ 42.07 , £ 45.05 , £ 48.44 , £ 51.43 , £ 54.41 , £ 57.39 , £ 60.37 , £ 63.36 , £ 66.34 , £ 69.33 , £ 72.31 , £ 75.30 , £ 105.47 , £ 135.31 ,,
Kuwait,DDP Courier, £ 9.91 , £ 10.76 , £ 11.76 , £ 12.63 , £ 13.48 , £ 14.33 , £ 15.18 , £ 16.03 , £ 17.84 , £ 19.56 , £ 21.26 , £ 22.96 , £ 24.66 , £ 26.36 , £ 30.51 , £ 32.22 , £ 35.98 , £ 37.68 , £ 41.46 , £ 43.16 , £ 46.92 , £ 48.64 , £ 52.40 , £ 54.10 , £ 81.76 , £ 109.13 ,,
Kuwait,DDU Courier, £ 9.91 , £ 10.76 , £ 11.76 , £ 12.63 , £ 13.48 , £ 14.33 , £ 15.18 , £ 16.03 , £ 17.84 , £ 19.56 , £ 21.26 , £ 22.96 , £ 24.66 , £ 26.36 , £ 30.51 , £ 32.22 , £ 35.98 , £ 37.68 , £ 41.46 , £ 43.16 , £ 46.92 , £ 48.64 , £ 52.40 , £ 54.10 , £ 81.76 , £ 109.13 ,,
Kyrgyzstan,DDU Courier, £ 29.95 , £ 32.01 , £ 34.23 , £ 36.31 , £ 38.37 , £ 40.43 , £ 42.50 , £ 44.56 , £ 48.82 , £ 52.94 , £ 57.07 , £ 61.21 , £ 65.33 , £ 69.46 , £ 73.99 , £ 78.12 , £ 82.26 , £ 86.38 , £ 90.51 , £ 94.65 , £ 98.77 , £ 102.90 , £ 107.04 , £ 111.16 , £ 152.78 , £ 194.09 ,,
Lao People's Democratic Republic,DDU Courier, £ 21.42 , £ 24.24 , £ 27.32 , £ 30.14 , £ 32.95 , £ 35.75 , £ 38.58 , £ 41.38 , £ 47.20 , £ 52.83 , £ 58.45 , £ 64.07 , £ 69.70 , £ 75.31 , £ 81.60 , £ 87.23 , £ 92.86 , £ 98.47 , £ 104.10 , £ 109.73 , £ 115.34 , £ 120.97 , £ 126.59 , £ 132.21 , £ 188.98 , £ 245.20 ,,
Lebanon,DDU Courier, £ 11.73 , £ 17.44 , £ 23.32 , £ 24.87 , £ 25.90 , £ 26.93 , £ 27.96 , £ 29.01 , £ 31.20 , £ 33.26 , £ 35.34 , £ 37.40 , £ 39.47 , £ 41.55 , £ 44.02 , £ 46.08 , £ 48.16 , £ 50.23 , £ 52.29 , £ 54.37 , £ 56.43 , £ 58.51 , £ 60.58 , £ 62.64 , £ 83.66 , £ 104.35 ,,
Lesotho,DDU Courier, £ 29.27 , £ 31.38 , £ 33.75 , £ 35.87 , £ 37.98 , £ 40.10 , £ 42.20 , £ 44.32 , £ 48.73 , £ 52.95 , £ 57.18 , £ 61.40 , £ 65.63 , £ 69.85 , £ 74.72 , £ 78.94 , £ 83.17 , £ 87.39 , £ 91.62 , £ 95.84 , £ 100.07 , £ 104.29 , £ 108.52 , £ 112.74 , £ 155.50 , £ 197.74 ,,
Liberia,DDU Courier, £ 25.30 , £ 27.16 , £ 29.30 , £ 31.17 , £ 33.04 , £ 34.90 , £ 36.75 , £ 38.62 , £ 42.56 , £ 46.28 , £ 50.01 , £ 53.73 , £ 57.46 , £ 61.18 , £ 65.60 , £ 69.33 , £ 73.06 , £ 76.78 , £ 80.51 , £ 84.23 , £ 87.96 , £ 91.68 , £ 95.41 , £ 99.14 , £ 136.94 , £ 174.20 ,,
Liechtenstein,DDU Courier, £ 21.12 , £ 21.60 , £ 22.36 , £ 22.84 , £ 23.32 , £ 23.80 , £ 24.27 , £ 24.75 , £ 25.90 , £ 26.86 , £ 27.81 , £ 28.77 , £ 29.72 , £ 30.68 , £ 32.31 , £ 33.26 , £ 34.22 , £ 35.17 , £ 36.13 , £ 37.08 , £ 38.04 , £ 38.99 , £ 39.95 , £ 40.90 , £ 51.00 , £ 60.57 ,,
"Macau SAR, China",DDU Courier, £ 37.32 , £ 39.32 , £ 41.58 , £ 43.58 , £ 45.58 , £ 47.58 , £ 49.58 , £ 51.58 , £ 55.76 , £ 59.76 , £ 63.76 , £ 67.76 , £ 71.76 , £ 75.76 , £ 80.38 , £ 84.38 , £ 88.38 , £ 92.38 , £ 96.38 , £ 100.38 , £ 104.37 , £ 108.37 , £ 112.37 , £ 116.37 , £ 156.85 , £ 196.85 ,,
Madagascar,DDU Courier, £ 36.01 , £ 37.68 , £ 39.53 , £ 41.22 , £ 42.89 , £ 44.58 , £ 46.26 , £ 47.94 , £ 51.43 , £ 54.79 , £ 58.15 , £ 61.52 , £ 64.88 , £ 68.24 , £ 72.00 , £ 75.37 , £ 78.73 , £ 82.09 , £ 85.47 , £ 88.83 , £ 92.18 , £ 95.56 , £ 98.92 , £ 102.28 , £ 136.24 , £ 169.87 ,,
Malawi,DDU Courier, £ 24.11 , £ 27.08 , £ 30.25 , £ 33.22 , £ 36.20 , £ 39.17 , £ 42.16 , £ 45.13 , £ 51.22 , £ 57.18 , £ 63.13 , £ 69.09 , £ 75.06 , £ 81.02 , £ 87.39 , £ 93.35 , £ 99.32 , £ 105.28 , £ 111.23 , £ 117.19 , £ 123.15 , £ 129.10 , £ 135.06 , £ 141.02 , £ 200.94 , £ 260.53 ,,
Malaysia,DDU Courier, £ 9.52 , £ 14.91 , £ 20.44 , £ 21.96 , £ 22.95 , £ 23.93 , £ 24.93 , £ 25.92 , £ 27.99 , £ 29.96 , £ 31.95 , £ 33.92 , £ 35.90 , £ 37.87 , £ 40.20 , £ 42.17 , £ 44.14 , £ 46.13 , £ 48.10 , £ 50.09 , £ 52.06 , £ 54.03 , £ 56.01 , £ 57.98 , £ 78.02 , £ 97.78 ,,
Maldives,DDU Courier, £ 22.81 , £ 23.47 , £ 24.29 , £ 24.95 , £ 25.59 , £ 26.24 , £ 26.90 , £ 27.56 , £ 28.98 , £ 30.29 , £ 31.60 , £ 32.90 , £ 34.22 , £ 35.53 , £ 37.22 , £ 38.53 , £ 39.84 , £ 41.14 , £ 42.46 , £ 43.77 , £ 45.07 , £ 46.38 , £ 47.70 , £ 49.00 , £ 62.40 , £ 75.48 ,,
Mali,DDU Courier, £ 15.69 , £ 17.26 , £ 18.99 , £ 20.57 , £ 22.15 , £ 23.72 , £ 25.30 , £ 26.87 , £ 30.14 , £ 33.29 , £ 36.46 , £ 39.61 , £ 42.76 , £ 45.91 , £ 49.44 , £ 52.59 , £ 55.74 , £ 58.89 , £ 62.06 , £ 65.21 , £ 68.36 , £ 71.51 , £ 74.67 , £ 77.82 , £ 109.65 , £ 141.19 ,,
Marshall Islands,DDU Courier, £ 39.71 , £ 43.28 , £ 47.14 , £ 50.73 , £ 54.30 , £ 57.86 , £ 61.45 , £ 65.01 , £ 72.37 , £ 79.52 , £ 86.68 , £ 93.83 , £ 100.96 , £ 108.11 , £ 115.97 , £ 123.12 , £ 130.27 , £ 137.42 , £ 144.57 , £ 151.70 , £ 158.85 , £ 166.01 , £ 173.16 , £ 180.31 , £ 252.34 , £ 323.82 ,,
Martinique,DDU Courier, £ 13.38 , £ 17.66 , £ 22.26 , £ 26.56 , £ 30.84 , £ 35.14 , £ 39.43 , £ 43.73 , £ 60.01 , £ 65.55 , £ 71.07 , £ 76.61 , £ 82.15 , £ 87.69 , £ 93.96 , £ 99.48 , £ 105.02 , £ 110.56 , £ 116.10 , £ 121.64 , £ 127.16 , £ 132.70 , £ 138.24 , £ 143.78 , £ 199.71 , £ 255.07 ,,
Mauritania,DDU Courier, £ 31.11 , £ 34.34 , £ 37.72 , £ 40.96 , £ 44.19 , £ 47.41 , £ 50.65 , £ 53.88 , £ 60.46 , £ 66.91 , £ 73.37 , £ 79.84 , £ 86.29 , £ 92.75 , £ 99.60 , £ 106.07 , £ 112.53 , £ 118.98 , £ 125.44 , £ 131.91 , £ 138.36 , £ 144.82 , £ 151.29 , £ 157.74 , £ 222.64 , £ 287.24 ,,
Mauritius,DDU Courier, £ 22.95 , £ 23.74 , £ 24.68 , £ 25.47 , £ 26.24 , £ 27.04 , £ 27.81 , £ 28.60 , £ 30.29 , £ 31.86 , £ 33.43 , £ 35.01 , £ 36.57 , £ 38.14 , £ 40.10 , £ 41.67 , £ 43.25 , £ 44.82 , £ 46.38 , £ 47.95 , £ 49.52 , £ 51.10 , £ 52.67 , £ 54.24 , £ 70.25 , £ 85.96 ,,
Mayotte,DDU Courier, £ 29.11 , £ 29.60 , £ 30.38 , £ 30.87 , £ 31.36 , £ 31.87 , £ 32.37 , £ 32.86 , £ 34.05 , £ 35.05 , £ 36.04 , £ 37.04 , £ 38.04 , £ 39.02 , £ 40.68 , £ 41.68 , £ 42.67 , £ 43.67 , £ 44.67 , £ 45.65 , £ 46.65 , £ 47.65 , £ 48.64 , £ 49.64 , £ 60.12 , £ 70.07 ,,
Mexico,DDU Courier, £ 9.52 , £ 12.03 , £ 14.70 , £ 17.21 , £ 19.74 , £ 22.24 , £ 24.75 , £ 27.26 , £ 47.05 , £ 49.86 , £ 52.65 , £ 55.44 , £ 58.24 , £ 61.03 , £ 64.21 , £ 67.00 , £ 69.79 , £ 72.60 , £ 75.39 , £ 78.18 , £ 80.97 , £ 83.76 , £ 86.57 , £ 89.36 , £ 117.61 , £ 145.55 ,,
Moldova,DDU Courier, £ 28.78 , £ 29.69 , £ 30.75 , £ 31.66 , £ 32.57 , £ 33.47 , £ 34.38 , £ 35.29 , £ 37.22 , £ 39.02 , £ 40.84 , £ 42.65 , £ 44.46 , £ 46.28 , £ 48.49 , £ 50.29 , £ 52.10 , £ 53.92 , £ 55.73 , £ 57.53 , £ 59.36 , £ 61.16 , £ 62.97 , £ 64.79 , £ 83.21 , £ 101.34 ,,
Monaco,DDU Courier, £ 19.35 , £ 19.51 , £ 19.96 , £ 20.12 , £ 20.30 , £ 20.47 , £ 20.65 , £ 20.81 , £ 23.63 , £ 23.98 , £ 24.32 , £ 24.66 , £ 25.01 , £ 25.35 , £ 26.35 , £ 26.69 , £ 27.04 , £ 27.38 , £ 27.72 , £ 28.07 , £ 28.41 , £ 28.75 , £ 29.10 , £ 29.44 , £ 33.40 , £ 36.83 ,,
Mongolia,DDU Courier, £ 30.53 , £ 33.38 , £ 36.52 , £ 39.38 , £ 42.25 , £ 45.10 , £ 47.97 , £ 50.82 , £ 56.74 , £ 62.46 , £ 68.18 , £ 73.90 , £ 79.63 , £ 85.35 , £ 91.75 , £ 97.47 , £ 103.19 , £ 108.90 , £ 114.62 , £ 120.34 , £ 126.06 , £ 131.77 , £ 137.51 , £ 143.22 , £ 200.97 , £ 258.16 ,,
Montenegro,DDU Courier, £ 23.62 , £ 25.07 , £ 26.66 , £ 28.13 , £ 29.57 , £ 31.02 , £ 32.47 , £ 33.92 , £ 36.93 , £ 39.83 , £ 42.73 , £ 45.62 , £ 48.52 , £ 51.43 , £ 54.71 , £ 57.61 , £ 60.51 , £ 63.40 , £ 66.30 , £ 69.21 , £ 72.11 , £ 75.00 , £ 77.90 , £ 80.79 , £ 110.08 , £ 139.07 ,,
Montserrat,DDU Courier, £ 19.15 , £ 22.02 , £ 25.17 , £ 28.04 , £ 30.90 , £ 33.77 , £ 36.63 , £ 39.50 , £ 45.44 , £ 51.18 , £ 56.91 , £ 62.64 , £ 68.39 , £ 74.12 , £ 80.52 , £ 86.26 , £ 91.99 , £ 97.72 , £ 103.47 , £ 109.20 , £ 114.94 , £ 120.67 , £ 126.42 , £ 132.15 , £ 190.04 , £ 247.40 ,,
Morocco,DDU Courier, £ 11.44 , £ 18.14 , £ 25.02 , £ 31.72 , £ 37.55 , £ 39.61 , £ 41.67 , £ 43.73 , £ 47.95 , £ 52.07 , £ 56.18 , £ 60.30 , £ 64.40 , £ 68.52 , £ 73.05 , £ 77.15 , £ 81.27 , £ 85.38 , £ 89.50 , £ 93.60 , £ 97.72 , £ 101.83 , £ 105.95 , £ 110.05 , £ 151.51 , £ 192.62 ,,
Mozambique,DDU Courier, £ 25.81 , £ 26.96 , £ 28.26 , £ 29.39 , £ 30.54 , £ 31.69 , £ 32.83 , £ 33.98 , £ 36.38 , £ 38.67 , £ 40.95 , £ 43.25 , £ 45.53 , £ 47.82 , £ 50.49 , £ 52.79 , £ 55.07 , £ 57.36 , £ 59.64 , £ 61.94 , £ 64.22 , £ 66.51 , £ 68.79 , £ 71.09 , £ 94.27 , £ 117.14 ,,
Myanmar,DDU Courier, £ 22.87 , £ 25.23 , £ 27.86 , £ 30.23 , £ 32.60 , £ 34.96 , £ 37.34 , £ 39.70 , £ 44.62 , £ 49.37 , £ 54.10 , £ 58.83 , £ 63.57 , £ 68.30 , £ 73.67 , £ 78.40 , £ 83.14 , £ 87.88 , £ 92.62 , £ 97.35 , £ 102.08 , £ 106.81 , £ 111.55 , £ 116.29 , £ 164.14 , £ 211.49 ,,
Namibia,DDU Courier, £ 23.69 , £ 25.66 , £ 27.89 , £ 29.86 , £ 31.83 , £ 33.80 , £ 35.77 , £ 37.74 , £ 41.87 , £ 45.82 , £ 49.76 , £ 53.70 , £ 57.64 , £ 61.58 , £ 66.15 , £ 70.09 , £ 74.03 , £ 77.97 , £ 81.91 , £ 85.85 , £ 89.80 , £ 93.74 , £ 97.68 , £ 101.62 , £ 141.52 , £ 180.92 ,,
Nauru,DDU Courier, £ 25.32 , £ 29.25 , £ 33.47 , £ 37.41 , £ 41.35 , £ 45.28 , £ 49.22 , £ 53.16 , £ 61.24 , £ 69.12 , £ 76.99 , £ 84.85 , £ 92.74 , £ 100.60 , £ 109.19 , £ 117.05 , £ 124.94 , £ 132.80 , £ 140.67 , £ 148.55 , £ 156.42 , £ 164.29 , £ 172.17 , £ 180.04 , £ 259.34 , £ 338.06 ,,
Nepal,DDU Courier, £ 19.44 , £ 21.71 , £ 24.14 , £ 26.42 , £ 28.69 , £ 30.98 , £ 33.25 , £ 35.53 , £ 40.19 , £ 44.74 , £ 49.29 , £ 53.85 , £ 58.40 , £ 62.95 , £ 67.90 , £ 72.45 , £ 76.99 , £ 81.54 , £ 86.09 , £ 90.65 , £ 95.20 , £ 99.75 , £ 104.31 , £ 108.86 , £ 154.69 , £ 200.21 ,,
New Caledonia,DDU Courier, £ 30.29 , £ 36.19 , £ 42.34 , £ 48.23 , £ 54.13 , £ 60.01 , £ 65.91 , £ 71.81 , £ 83.78 , £ 95.57 , £ 107.35 , £ 119.14 , £ 130.92 , £ 142.72 , £ 155.14 , £ 166.93 , £ 178.71 , £ 190.50 , £ 202.28 , £ 214.08 , £ 225.87 , £ 237.65 , £ 249.44 , £ 261.22 , £ 379.60 , £ 497.46 ,,
New Zealand,Commercial, £ 8.67 , £ 11.85 , £ 15.17 , £ 18.36 , £ 21.54 , £ 24.72 , £ 27.90 , £ 31.08 , £ 37.92 , £ 44.65 , £ 51.01 , £ 57.74 , £ 64.10 , £ 70.84 , £ 77.52 , £ 84.26 , £ 90.63 , £ 97.36 , £ 103.72 , £ 110.46 , £ 116.82 , £ 123.55 , £ 129.92 , £ 136.64 , £ 202.39 , £ 267.88 ,,
New Zealand,Postal, £ 12.76 , £ 15.88 , £ 19.14 , £ 22.26 , £ 25.38 , £ 28.50 , £ 31.62 , £ 34.74 , £ 45.85 , £ 52.50 , £ 59.15 , £ 65.81 , £ 72.46 , £ 79.11 , £ 86.12 , £ 92.77 , £ 99.42 , £ 106.08 , £ 112.74 , £ 119.38 , £ 126.04 , £ 132.70 , £ 139.36 , £ 146.00 , £ 212.84 , £ 279.37 ,,
Nicaragua,DDU Courier, £ 25.07 , £ 27.57 , £ 30.36 , £ 32.89 , £ 35.40 , £ 37.92 , £ 40.43 , £ 42.95 , £ 48.17 , £ 53.21 , £ 58.24 , £ 63.27 , £ 68.30 , £ 73.34 , £ 79.03 , £ 84.06 , £ 89.09 , £ 94.12 , £ 99.16 , £ 104.20 , £ 109.23 , £ 114.26 , £ 119.29 , £ 124.33 , £ 175.17 , £ 225.50 , £ -   , £ -   
Niger,DDU Courier, £ 24.30 , £ 27.48 , £ 30.84 , £ 34.02 , £ 37.20 , £ 40.38 , £ 43.56 , £ 46.73 , £ 53.22 , £ 59.58 , £ 65.94 , £ 72.28 , £ 78.64 , £ 85.00 , £ 91.80 , £ 98.14 , £ 104.50 , £ 110.86 , £ 117.22 , £ 123.58 , £ 129.94 , £ 136.30 , £ 142.66 , £ 149.00 , £ 212.93 , £ 276.49 , £ -   , £ -   
Nigeria,DDU Courier, £ 29.48 , £ 31.81 , £ 34.40 , £ 36.72 , £ 39.05 , £ 41.37 , £ 43.70 , £ 46.02 , £ 50.86 , £ 55.52 , £ 60.16 , £ 64.82 , £ 69.48 , £ 74.12 , £ 79.42 , £ 84.06 , £ 88.72 , £ 93.36 , £ 98.02 , £ 102.66 , £ 107.32 , £ 111.96 , £ 116.62 , £ 121.28 , £ 168.29 , £ 214.81 , £ -   , £ -   
North Macedonia,DDU Courier, £ 17.79 , £ 19.06 , £ 20.50 , £ 21.75 , £ 23.02 , £ 24.29 , £ 25.56 , £ 26.83 , £ 29.47 , £ 32.01 , £ 34.54 , £ 37.07 , £ 39.61 , £ 42.14 , £ 45.07 , £ 47.59 , £ 50.13 , £ 52.67 , £ 55.19 , £ 57.73 , £ 60.27 , £ 62.79 , £ 65.33 , £ 67.87 , £ 93.51 , £ 118.85 , £ -   , £ -   
Northern Mariana Islands,DDU Courier, £ 42.43 , £ 44.71 , £ 47.28 , £ 49.55 , £ 51.83 , £ 54.10 , £ 56.39 , £ 58.65 , £ 63.43 , £ 67.98 , £ 72.54 , £ 77.09 , £ 81.64 , £ 86.20 , £ 91.47 , £ 96.02 , £ 100.57 , £ 105.13 , £ 109.68 , £ 114.23 , £ 118.79 , £ 123.34 , £ 127.89 , £ 132.45 , £ 178.56 , £ 224.11 , £ -   , £ -   
Norway,DDU Courier, £ 9.48 , £ 10.91 , £ 12.48 , £ 13.91 , £ 15.35 , £ 16.78 , £ 18.21 , £ 19.65 , £ 23.39 , £ 24.90 , £ 26.42 , £ 27.93 , £ 29.44 , £ 30.95 , £ 32.81 , £ 34.34 , £ 35.84 , £ 37.35 , £ 38.86 , £ 40.38 , £ 41.89 , £ 43.40 , £ 44.92 , £ 46.43 , £ 61.83 , £ 76.96 , £ -   , £ -   
Oman,DDP Courier, £ 9.72 , £ 10.38 , £ 11.18 , £ 11.82 , £ 12.48 , £ 13.14 , £ 13.79 , £ 14.44 , £ 15.85 , £ 17.17 , £ 18.47 , £ 19.78 , £ 21.08 , £ 22.39 , £ 25.15 , £ 26.45 , £ 28.86 , £ 30.16 , £ 32.54 , £ 33.86 , £ 36.25 , £ 37.55 , £ 39.93 , £ 41.25 , £ 60.03 , £ 78.51 , £ 97.69 , £ 116.17 
Oman,DDU Courier, £ 9.72 , £ 10.38 , £ 11.18 , £ 11.82 , £ 12.48 , £ 13.14 , £ 13.79 , £ 14.44 , £ 15.85 , £ 17.17 , £ 18.47 , £ 19.78 , £ 21.08 , £ 22.39 , £ 25.15 , £ 26.45 , £ 28.86 , £ 30.16 , £ 32.54 , £ 33.86 , £ 36.25 , £ 37.55 , £ 39.93 , £ 41.25 , £ 60.03 , £ 78.51 , £ 97.69 , £ 116.17 
Pakistan,DDU Courier, £ 24.18 , £ 24.71 , £ 25.41 , £ 25.93 , £ 26.45 , £ 26.98 , £ 27.50 , £ 28.02 , £ 29.19 , £ 30.25 , £ 31.29 , £ 32.34 , £ 33.38 , £ 34.43 , £ 35.89 , £ 36.93 , £ 37.98 , £ 39.02 , £ 40.08 , £ 41.13 , £ 42.17 , £ 43.22 , £ 44.26 , £ 45.31 , £ 56.12 , £ 66.58 , £ -   , £ -   
Palau,DDU Courier, £ 39.71 , £ 43.28 , £ 47.14 , £ 50.73 , £ 54.30 , £ 57.86 , £ 61.45 , £ 65.01 , £ 72.37 , £ 79.52 , £ 86.68 , £ 93.83 , £ 100.96 , £ 108.11 , £ 115.97 , £ 123.12 , £ 130.27 , £ 137.42 , £ 144.57 , £ 151.70 , £ 158.85 , £ 166.01 , £ 173.16 , £ 180.31 , £ 252.34 , £ 323.82 , £ -   , £ -   
Palestine,DDU Courier, £ 19.14 , £ 21.23 , £ 23.62 , £ 25.72 , £ 27.81 , £ 29.92 , £ 32.01 , £ 34.10 , £ 38.50 , £ 42.70 , £ 46.89 , £ 51.09 , £ 55.28 , £ 59.46 , £ 64.37 , £ 68.57 , £ 72.75 , £ 76.94 , £ 81.14 , £ 85.33 , £ 89.53 , £ 93.71 , £ 97.90 , £ 102.10 , £ 144.58 , £ 186.50 , £ -   , £ -   
Panama,DDU Courier, £ 29.01 , £ 30.13 , £ 31.41 , £ 32.54 , £ 33.66 , £ 34.78 , £ 35.92 , £ 37.04 , £ 39.41 , £ 41.65 , £ 43.90 , £ 46.16 , £ 48.40 , £ 50.65 , £ 53.29 , £ 55.55 , £ 57.80 , £ 60.04 , £ 62.30 , £ 64.55 , £ 66.79 , £ 69.04 , £ 71.30 , £ 73.54 , £ 96.35 , £ 118.85 , £ -   , £ -   
Papua New Guinea,DDU Courier, £ 32.26 , £ 33.81 , £ 35.65 , £ 37.20 , £ 38.77 , £ 40.34 , £ 41.90 , £ 43.47 , £ 46.79 , £ 49.91 , £ 53.04 , £ 56.18 , £ 59.30 , £ 62.43 , £ 66.19 , £ 69.33 , £ 72.45 , £ 75.58 , £ 78.70 , £ 81.84 , £ 84.97 , £ 88.09 , £ 91.23 , £ 94.35 , £ 126.15 , £ 157.44 , £ -   , £ -   
Paraguay,DDU Courier, £ 28.11 , £ 30.87 , £ 33.89 , £ 36.63 , £ 39.40 , £ 42.16 , £ 44.92 , £ 47.67 , £ 53.38 , £ 58.89 , £ 64.42 , £ 69.93 , £ 75.45 , £ 80.96 , £ 87.11 , £ 92.62 , £ 98.14 , £ 103.65 , £ 109.17 , £ 114.68 , £ 120.20 , £ 125.73 , £ 131.24 , £ 136.76 , £ 192.43 , £ 247.59 , £ -   , £ -   
Peru,DDU Courier, £ 28.26 , £ 29.36 , £ 30.62 , £ 31.71 , £ 32.80 , £ 33.90 , £ 34.99 , £ 36.10 , £ 38.40 , £ 40.59 , £ 42.79 , £ 44.96 , £ 47.16 , £ 49.35 , £ 51.94 , £ 54.12 , £ 56.31 , £ 58.51 , £ 60.70 , £ 62.88 , £ 65.07 , £ 67.27 , £ 69.46 , £ 71.64 , £ 93.87 , £ 115.77 , £ -   , £ -   
Philippines,DDU Courier, £ 22.66 , £ 23.44 , £ 24.36 , £ 25.14 , £ 25.92 , £ 26.69 , £ 27.47 , £ 28.24 , £ 29.92 , £ 31.45 , £ 33.01 , £ 34.56 , £ 36.11 , £ 37.66 , £ 39.59 , £ 41.14 , £ 42.70 , £ 44.25 , £ 45.80 , £ 47.34 , £ 48.89 , £ 50.44 , £ 52.00 , £ 53.55 , £ 69.36 , £ 84.85 , £ -   , £ -   
Pitcairn,DDU Courier, £ 32.83 , £ 38.53 , £ 44.52 , £ 50.22 , £ 55.92 , £ 61.63 , £ 67.33 , £ 73.03 , £ 84.65 , £ 96.05 , £ 107.46 , £ 118.86 , £ 130.27 , £ 141.67 , £ 153.78 , £ 165.18 , £ 176.59 , £ 188.00 , £ 199.40 , £ 210.81 , £ 222.21 , £ 233.62 , £ 245.02 , £ 256.43 , £ 371.03 , £ 485.09 , £ -   , £ -   
Puerto Rico,DDU Courier, £ 37.17 , £ 40.52 , £ 44.13 , £ 47.46 , £ 50.80 , £ 54.15 , £ 57.49 , £ 60.83 , £ 67.72 , £ 74.40 , £ 81.08 , £ 87.77 , £ 94.45 , £ 101.13 , £ 108.49 , £ 115.16 , £ 121.85 , £ 128.53 , £ 135.21 , £ 141.90 , £ 148.58 , £ 155.26 , £ 161.95 , £ 168.63 , £ 235.99 , £ 302.83 , £ -   , £ -   
Qatar,DDP Courier, £ 12.51 , £ 13.26 , £ 14.14 , £ 14.88 , £ 15.63 , £ 16.36 , £ 17.11 , £ 17.85 , £ 19.45 , £ 20.93 , £ 22.42 , £ 23.90 , £ 25.39 , £ 26.87 , £ 29.89 , £ 31.38 , £ 34.04 , £ 35.52 , £ 38.17 , £ 39.67 , £ 42.32 , £ 43.80 , £ 46.46 , £ 47.95 , £ 68.96 , £ 89.68 , £ 111.05 , £ 131.77 
Qatar,DDU Courier, £ 12.51 , £ 13.26 , £ 14.14 , £ 14.88 , £ 15.63 , £ 16.36 , £ 17.11 , £ 17.85 , £ 19.45 , £ 20.93 , £ 22.42 , £ 23.90 , £ 25.39 , £ 26.87 , £ 29.89 , £ 31.38 , £ 34.04 , £ 35.52 , £ 38.17 , £ 39.67 , £ 42.32 , £ 43.80 , £ 46.46 , £ 47.95 , £ 68.96 , £ 89.68 , £ 111.05 , £ 131.77 
Reunion,DDU Courier, £ 11.09 , £ 14.79 , £ 18.65 , £ 22.35 , £ 26.05 , £ 29.74 , £ 33.44 , £ 37.14 , £ 48.17 , £ 52.85 , £ 57.52 , £ 62.19 , £ 66.87 , £ 71.54 , £ 76.61 , £ 81.29 , £ 85.96 , £ 90.63 , £ 95.30 , £ 99.98 , £ 104.65 , £ 109.32 , £ 113.99 , £ 118.67 , £ 165.72 , £ 212.45 , £ -   , £ -   
Rwanda,DDU Courier, £ 27.56 , £ 28.78 , £ 30.19 , £ 31.39 , £ 32.62 , £ 33.84 , £ 35.07 , £ 36.29 , £ 38.86 , £ 41.31 , £ 43.76 , £ 46.20 , £ 48.65 , £ 51.10 , £ 53.97 , £ 56.40 , £ 58.85 , £ 61.30 , £ 63.75 , £ 66.19 , £ 68.64 , £ 71.09 , £ 73.54 , £ 75.99 , £ 100.78 , £ 125.25 , £ -   , £ -   
